Title,Movie_Cast,Director,Genre,Year
Ghudchadi,Sanjay DuttRaveena TandonParth SamthaanKhushalii Kumar,Binoy Gandhi,NA,2024
Ghuspaithiya,Urvashi RautelaVineet Kumar SinghAkshay Oberoi,Susi Ganeshan,NA,2024
Khel Khel Mein,Akshay KumarTaapsee PannuFardeen KhanVaani KapoorAmmy VirkPragya JaiswalAditya Seal,Mudassar Aziz,NA,2024
Vedaa,John AbrahamSharvariAbhishek BanerjeeAshish Vidyarthi,Nikkhil Advani,NA,2024
Stree 2,Shraddha KapoorRajkummar RaoAparshakti KhuranaPankaj TripathiAbhishek Banerjee,Amar Kaushik,NA,2024
Tikdam,Amit SialArisht JainAarohi SaudDivyansh DwivediNayan Bhatt,Vivek Anchalia,NA,2024
A Wedding Story,Vaibhav TatwawadiMukti MohanLakshvir Singh SaranMonica Chaudhary Akshay Anand,Abhinav Pareek,NA,2024
Pad Gaye Pange,Samarpan SinghRajpal YadavRajesh SharmaFaisal MalikVarsha RekhateRrajesh Yadav,Santosh Kumar,NA,2024
Visfot,Riteish DeshmukhFardeen KhanPriya BapatKrystle D'Souza,Kookie Gulati,NA,2024
The Buckingham Murders,Kareena Kapoor KhanAsh TandonRanveer BrarKeith Allen,Hansal Mehta,NA,2024
Sector 36,Vikrant MasseyDeepak Dobriyal,Aditya Nimbalkar,NA,2024
Berlin,Ishwak SinghAparshakti KhuranaRahul BoseAnupriya GoenkaKabir Bedi,Atul Sabharwal,NA,2024
Adbhut,Nawazuddin SiddiquiDiana PentyShreya DhanwantharyRohan Mehra,Sabbir Khan,NA,2024
Kahan Shuru Kahan Khatam,Dhvani BhanushaliAashim GulatiSupriya PilgaonkarRakesh BediSonali SachdevRajesh SharmaAkhilendra MishraChittranjan TripathyVikram KochharHimansh KohliVikas Verma,Saurabh Dasgupta,NA,2024
Yudhra,Siddhant ChaturvediMalavika MohananRaghav JuyalGajraj RaoRam Kapoor,Ravi Udyawar,NA,2024
Nasha Jurm Aur Gangsters,Rajkumar PatraRocky Rupkumar PatraYudiMunni PankajAbhijit Acharjee,Rajkumar Patra,NA,2024
