Title,Movie_Cast,Director,Genre,Year
maharaj,Junaid KhanJaideep AhlawatShalini PandeySharvari,Siddharth P. Malhotra,"drama, historical",2024
hamare baarah,Annu KapoorParth SamthaanManoj Joshi,Kamal Chandra,drama,2024
pushtaini,Vinod RawatHemant PandeyShashi Bhushan,Vinod Rawat,,2024
jahangir national university,Siddharth BodkeUrvashi RautelaRashami DesaiPiyush MishraRavi Kishan,Vinay Sharma,"drama, political",2024
rautu ka raaz,Nawazuddin SiddiquiRajesh KumarNarayani ShastriAtul Tiwari,Anand Surapur,mystery,2024
sharmajee ki beti,Divya DuttaSakshi TanwarSaiyami KherSharib Hashmi,Tahira Kashyap Khurana,"drama, comedy",2024
kooki,Ritisha KhaundRajesh TailangRina RaniDipannita SharmaDevoleena Bhattacharjee,Pranab J Deka,drama,2024
,,,,2024
kill,LakshyaRaghav JuyalTanya Maniktala,Nikhil Nagesh Bhat,Unknown,2024
wild wild punjab,Varun SharmaSunny SinghManjot SinghJassie GillPatralekha PaulIshita Raj Sharma,Simarpreet Singh,comedy,2024
sarfira,Akshay KumarParesh RawalRadhika Madan,Sudha Kongara,drama,2024
kakuda,Riteish DeshmukhSonakshi SinhaSaqib Saleem,Aditya Sarpotdar,"comedy, horror",2024
bad newz,Vicky KaushalTriptii DimriAmmy VirkNeha Dhupia,Anand Tiwari,"comedy, war",2024
bad newz,Vicky KaushalTriptii DimriAmmy VirkNeha Dhupia,Anand Tiwari,"comedy, war",2024
accident or conspiracy: godhra,Ranvir ShoreyManoj Joshi,M.K Shivaaksh,drama,2024
bloody ishq,Avika GorVardhan Puri,Vikram Bhatt,"thriller, horror",2024
pride,Mimoh ChakrabortyAishwarya Raj BhakuniArif Zakaria,Pankaj Kr Virat,,2024
auron mein kahan dum tha,Ajay DevgnTabuJimmy SheirgillShantanu MaheshwariSaiee Manjrekar,Neeraj Pandey,"thriller, romantic",2024
ulajh,Janhvi KapoorGulshan DevaiahRajesh TailangMeiyang ChangRoshan Mathew,Sudhanshu Saria,thriller,2024
aliya basu gayab hai,Vinay PathakRaima SenSalim Diwan,Preeti Singh,Unknown,2024
phir aayi hasseen dillruba,Taapsee PannuVikrant MasseySunny KaushalJimmy Sheirgill,Jayprad Desai,"thriller, romantic",2024
ghudchadi,Sanjay DuttRaveena TandonParth SamthaanKhushalii Kumar,Binoy Gandhi,"comedy, romantic",2024
